CNES - Equipes de Saúde - Brasil
Quantidade por Município e Ano/mês compet.
Período:2023
"Município";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"170100 ANANAS";10;10;10;10;10;10;10;10;10;10;10;10
"170105 ANGICO";5;5;5;5;5;5;5;5;5;5;5;5
"170110 APARECIDA DO RIO NEGRO";5;5;5;5;5;5;5;5;5;5;5;5
"170130 ARAGOMINAS";7;7;7;7;7;7;7;7;7;7;7;7
"170190 ARAGUACEMA";7;7;7;7;7;7;7;7;7;7;7;7
"170200 ARAGUACU";8;8;8;8;8;8;8;8;9;9;9;9
"170210 ARAGUAINA";89;89;89;89;91;92;92;93;117;118;118;118
"170215 ARAGUANA";7;7;7;7;7;7;8;8;8;8;8;8
"170220 ARAGUATINS";26;26;26;26;26;26;26;26;26;26;26;26
"170230 ARAPOEMA";6;6;6;6;6;7;7;7;7;7;7;7
"170240 ARRAIAS";9;9;9;9;9;9;9;9;9;9;9;9
"170255 AUGUSTINOPOLIS";14;14;14;14;14;14;14;14;14;14;14;14
"170270 AURORA DO TOCANTINS";5;5;5;5;5;5;5;5;5;5;5;5
"170290 AXIXA DO TOCANTINS";9;9;9;9;9;9;9;11;11;11;11;11
"170300 BABACULANDIA";8;8;8;8;8;8;8;8;8;8;8;8
"170305 BANDEIRANTES DO TOCANTINS";4;4;4;4;5;5;5;5;5;5;5;5
"170307 BARRA DO OURO";4;4;4;4;4;4;4;4;4;4;4;4
"170310 BARROLANDIA";8;8;8;8;8;8;8;8;8;8;8;8
"170320 BERNARDO SAYAO";6;6;6;6;6;6;6;6;6;6;6;6
"170330 BOM JESUS DO TOCANTINS";5;5;5;6;6;6;6;6;6;7;7;7
"170360 BRASILANDIA DO TOCANTINS";3;3;3;3;3;3;3;3;3;3;3;3
"170370 BREJINHO DE NAZARE";6;6;6;6;6;6;6;6;6;6;6;6
"170380 BURITI DO TOCANTINS";10;10;10;10;10;10;10;10;10;10;10;10
"170382 CACHOEIRINHA";3;3;3;3;3;3;3;3;3;3;3;3
"170384 CAMPOS LINDOS";6;6;6;6;6;6;6;6;6;6;6;6
"170386 CARIRI DO TOCANTINS";6;6;6;7;7;7;7;7;7;7;7;7
"170388 CARMOLANDIA";3;3;3;3;3;3;3;3;3;3;3;3
"170389 CARRASCO BONITO";5;5;5;5;5;5;5;5;5;5;5;5
"170390 CASEARA";5;5;5;5;6;6;6;6;6;6;6;6
"170410 CENTENARIO";3;3;3;3;3;3;3;3;3;3;3;3
"170460 CHAPADA DE AREIA";3;3;3;3;3;3;3;3;3;3;3;3
